stat,bounds,min,max,mean,median,std,var,sum,path,tile,z
prop_pixel_covered_by_IWP,"[-159.30175781250009, -159.27978515625009, 66.7309570312501, 66.7529296875001]",0.0,3.0,0.10862074355257892,0.0,0.2732157201703799,0.07464682974821935,7118.569049461812,geotiff/WorldCRS84Quad/13/942/1058.tif,"Tile(x=942, y=1058, z=13)",13
number_IWP_per_pixel,"[-159.30175781250009, -159.27978515625009, 66.5551757812501, 66.5771484375001]",0.0,6.0,0.0500030517578125,0.0,0.3882965760185351,0.15077423094771802,3277.0,geotiff/WorldCRS84Quad/13/942/1066.tif,"Tile(x=942, y=1066, z=13)",13
prop_pixel_covered_by_IWP,"[-159.30175781250009, -159.27978515625009, 66.5551757812501, 66.5771484375001]",0.0,6.9896139885934625,0.16777719587353787,0.0,0.5791871212214019,0.33545772138873486,10995.446308768178,geotiff/WorldCRS84Quad/13/942/1066.tif,"Tile(x=942, y=1066, z=13)",13
number_IWP_per_pixel,"[-159.30175781250009, -159.27978515625009, 66.2915039062501, 66.3134765625001]",0.0,3.0,0.0308990478515625,0.0,0.1744493563858272,0.03043257794342935,2025.0,geotiff/WorldCRS84Quad/13/942/1078.tif,"Tile(x=942, y=1078, z=13)",13
prop_pixel_covered_by_IWP,"[-159.30175781250009, -159.27978515625009, 66.2915039062501, 66.3134765625001]",0.0,3.0,0.09226921244343758,0.0,0.24127671401804046,0.058214452727343276,6046.955106693125,geotiff/WorldCRS84Quad/13/942/1078.tif,"Tile(x=942, y=1078, z=13)",13
number_IWP_per_pixel,"[-159.30175781250009, -159.27978515625009, 66.4453125000001, 66.4672851562501]",0.0,5.0,0.0343170166015625,0.0,0.26498720043618257,0.07021821639500558,2249.0,geotiff/WorldCRS84Quad/13/942/1071.tif,"Tile(x=942, y=1071, z=13)",13
prop_pixel_covered_by_IWP,"[-159.30175781250009, -159.27978515625009, 66.4453125000001, 66.4672851562501]",0.0,5.0,0.13349867869248475,0.0,0.43022055832916567,0.18508972880905905,8748.96940679068,geotiff/WorldCRS84Quad/13/942/1071.tif,"Tile(x=942, y=1071, z=13)",13
number_IWP_per_pixel,"[-159.30175781250009, -159.27978515625009, 66.3793945312501, 66.4013671875001]",0.0,8.0,0.018341064453125,0.0,0.13996993916677722,0.019591583870351315,1202.0,geotiff/WorldCRS84Quad/13/942/1074.tif,"Tile(x=942, y=1074, z=13)",13
prop_pixel_covered_by_IWP,"[-159.30175781250009, -159.27978515625009, 66.3793945312501, 66.4013671875001]",0.0,8.485195678011895,0.08409795638717987,0.0,0.27045355226595513,0.07314512393327371,5511.44366979022,geotiff/WorldCRS84Quad/13/942/1074.tif,"Tile(x=942, y=1074, z=13)",13
number_IWP_per_pixel,"[-159.30175781250009, -159.27978515625009, 66.5112304687501, 66.5332031250001]",0.0,5.0,0.0387420654296875,0.0,0.27919807845807126,0.07795156701467931,2539.0,geotiff/WorldCRS84Quad/13/942/1068.tif,"Tile(x=942, y=1068, z=13)",13
prop_pixel_covered_by_IWP,"[-159.30175781250009, -159.27978515625009, 66.5112304687501, 66.5332031250001]",0.0,6.8336192236899285,0.20467536192860056,0.0,0.5486827092299128,0.301052715407877,13413.604519352766,geotiff/WorldCRS84Quad/13/942/1068.tif,"Tile(x=942, y=1068, z=13)",13
number_IWP_per_pixel,"[-159.30175781250009, -159.27978515625009, 66.4892578125001, 66.5112304687501]",0.0,4.0,0.05657958984375,0.0,0.33288499799196875,0.11081242188811302,3708.0,geotiff/WorldCRS84Quad/13/942/1069.tif,"Tile(x=942, y=1069, z=13)",13
prop_pixel_covered_by_IWP,"[-159.30175781250009, -159.27978515625009, 66.4892578125001, 66.5112304687501]",0.0,4.124182037747502,0.31022590782984133,0.0,0.6344788559553437,0.40256341865440176,20330.96509553648,geotiff/WorldCRS84Quad/13/942/1069.tif,"Tile(x=942, y=1069, z=13)",13
